# Synthetic IR intensity spectrum (not a real compound)
# Peaks near 1700 cm-1 and 2900 cm-1 (plus weaker ~1450)
# x_unit=cm-1  y_unit=intensity  (not %T/A — A↔%T disabled for this fixture)
wavenumber_cm-1,intensity
800.0000,0.015380
802.0000,0.030196
804.0000,0.014979
806.0000,0.014907
808.0000,0.024329
810.0000,0.026103
812.0000,0.023585
814.0000,0.006515
816.0000,0.024304
818.0000,0.011726
820.0000,0.021882
822.0000,0.008610
824.0000,0.023571
826.0000,0.013547
828.0000,0.009739
830.0000,0.025711
832.0000,0.021933
834.0000,0.015088
836.0000,0.031609
838.0000,0.016475
840.0000,0.020257
842.0000,0.022151
844.0000,0.015043
846.0000,0.023769
848.0000,0.015732
850.0000,0.016707
852.0000,0.030901
854.0000,0.011675
856.0000,0.000698
858.0000,0.032887
860.0000,0.040395
862.0000,0.016758
864.0000,0.004505
866.0000,0.017516
868.0000,0.017710
870.0000,0.018481
872.0000,0.011093
874.0000,0.024636
876.0000,0.024196
878.0000,0.008045
880.0000,0.025594
882.0000,0.036421
884.0000,0.021376
886.0000,0.017301
888.0000,0.018864
890.0000,0.024922
892.0000,0.006155
894.0000,0.021315
896.0000,0.016876
898.0000,0.034783
900.0000,0.018607
902.0000,0.033343
904.0000,0.011170
906.0000,0.024698
908.0000,0.022555
910.0000,0.013048
912.0000,0.021419
914.0000,0.029700
916.0000,0.017410
918.0000,0.006464
920.0000,0.019859
922.0000,0.012781
924.0000,0.017261
926.0000,0.019347
928.0000,0.006355
930.0000,0.007075
932.0000,0.023857
934.0000,0.015818
936.0000,-0.000518
938.0000,0.026279
940.0000,0.022179
942.0000,0.014289
944.0000,0.009465
946.0000,0.026686
948.0000,0.022795
950.0000,0.039061
952.0000,0.023362
954.0000,0.023102
956.0000,0.018665
958.0000,0.026534
960.0000,0.025001
962.0000,0.030014
964.0000,0.015829
966.0000,0.016517
968.0000,0.016167
970.0000,0.026326
972.0000,0.031987
974.0000,0.016329
976.0000,0.016602
978.0000,0.022513
980.0000,0.018034
982.0000,0.027616
984.0000,0.001986
986.0000,0.013386
988.0000,0.013741
990.0000,0.001437
992.0000,0.012291
994.0000,0.012679
996.0000,0.018391
998.0000,0.028904
1000.0000,0.018040
1002.0000,0.011753
1004.0000,0.019544
1006.0000,0.028393
1008.0000,0.012192
1010.0000,0.012715
1012.0000,0.024468
1014.0000,0.018228
1016.0000,0.025180
1018.0000,0.019891
1020.0000,0.025613
1022.0000,0.011719
1024.0000,0.019903
1026.0000,0.018314
1028.0000,0.010273
1030.0000,0.007492
1032.0000,0.025486
1034.0000,0.017192
1036.0000,0.011822
1038.0000,0.019231
1040.0000,0.029024
1042.0000,0.001754
1044.0000,0.008027
1046.0000,0.012617
1048.0000,0.031689
1050.0000,0.022261
1052.0000,0.026139
1054.0000,0.010879
1056.0000,0.011044
1058.0000,0.023583
1060.0000,0.020466
1062.0000,0.024390
1064.0000,0.018499
1066.0000,0.022225
1068.0000,0.021265
1070.0000,0.026222
1072.0000,0.026456
1074.0000,0.007041
1076.0000,0.002022
1078.0000,0.028014
1080.0000,0.029502
1082.0000,0.011835
1084.0000,0.005121
1086.0000,0.020792
1088.0000,0.027447
1090.0000,0.034381
1092.0000,0.024130
1094.0000,0.017026
1096.0000,0.012855
1098.0000,0.020092
1100.0000,0.017606
1102.0000,0.011879
1104.0000,0.036390
1106.0000,0.034281
1108.0000,0.029088
1110.0000,0.012633
1112.0000,0.026840
1114.0000,0.025117
1116.0000,0.023540
1118.0000,0.029997
1120.0000,0.025083
1122.0000,0.025920
1124.0000,0.025095
1126.0000,0.022726
1128.0000,0.005731
1130.0000,0.020669
1132.0000,0.015550
1134.0000,0.009761
1136.0000,0.033455
1138.0000,0.033832
1140.0000,0.030874
1142.0000,0.022042
1144.0000,0.030805
1146.0000,0.020096
1148.0000,0.021622
