# Synthetic UV-Vis absorbance spectrum (not a real compound)
# Peaks near 280 nm and 350 nm
# x_unit=nm  y_unit=A  (column 'absorbance' → Spectrum.y_unit 'A' for A↔%T)
wavelength_nm,absorbance
200.0000,0.051524
200.5000,0.044850
201.0000,0.053852
201.5000,0.054853
202.0000,0.040445
202.5000,0.043739
203.0000,0.050939
203.5000,0.048769
204.0000,0.050316
204.5000,0.046185
205.0000,0.054897
205.5000,0.054439
206.0000,0.050930
206.5000,0.056286
207.0000,0.053038
207.5000,0.046454
208.0000,0.052644
208.5000,0.046056
209.0000,0.055292
209.5000,0.050700
210.0000,0.050076
210.5000,0.047645
211.0000,0.057213
211.5000,0.050377
212.0000,0.049058
212.5000,0.049489
213.0000,0.053962
213.5000,0.053177
214.0000,0.053464
214.5000,0.053604
215.0000,0.062209
215.5000,0.049518
216.0000,0.049039
216.5000,0.047582
217.0000,0.054781
217.5000,0.057396
218.0000,0.051232
218.5000,0.047651
219.0000,0.047780
219.5000,0.055206
220.0000,0.055719
220.5000,0.054770
221.0000,0.048777
221.5000,0.053317
222.0000,0.052791
222.5000,0.053352
223.0000,0.056668
223.5000,0.053481
224.0000,0.055810
224.5000,0.052807
225.0000,0.053969
225.5000,0.055735
226.0000,0.045348
226.5000,0.051093
227.0000,0.050398
227.5000,0.049615
228.0000,0.051495
228.5000,0.060410
229.0000,0.048673
229.5000,0.057913
230.0000,0.044730
230.5000,0.051547
231.0000,0.054117
231.5000,0.056322
232.0000,0.057041
232.5000,0.057553
233.0000,0.051953
233.5000,0.051505
234.0000,0.058238
234.5000,0.053136
235.0000,0.047873
235.5000,0.048761
236.0000,0.050026
236.5000,0.057327
237.0000,0.055796
237.5000,0.058808
238.0000,0.053523
238.5000,0.056792
239.0000,0.059508
239.5000,0.055261
240.0000,0.059570
240.5000,0.054513
241.0000,0.056608
241.5000,0.057187
242.0000,0.053869
242.5000,0.063124
243.0000,0.059281
243.5000,0.062738
244.0000,0.066246
244.5000,0.067373
245.0000,0.069910
245.5000,0.067690
246.0000,0.067837
246.5000,0.071514
247.0000,0.065638
247.5000,0.069223
248.0000,0.072467
248.5000,0.076974
249.0000,0.087117
249.5000,0.084045
250.0000,0.090456
250.5000,0.102957
251.0000,0.099156
251.5000,0.109487
252.0000,0.106401
252.5000,0.115743
253.0000,0.118176
253.5000,0.127863
254.0000,0.140891
254.5000,0.135706
255.0000,0.154710
255.5000,0.162485
256.0000,0.167665
256.5000,0.173344
257.0000,0.191488
257.5000,0.199662
258.0000,0.215294
258.5000,0.226711
259.0000,0.247736
259.5000,0.252314
260.0000,0.262834
260.5000,0.283943
261.0000,0.299888
261.5000,0.321959
262.0000,0.336334
262.5000,0.351536
263.0000,0.375235
263.5000,0.380686
264.0000,0.402653
264.5000,0.420912
265.0000,0.443717
265.5000,0.459284
266.0000,0.490171
266.5000,0.506982
267.0000,0.522045
267.5000,0.545769
268.0000,0.573936
268.5000,0.598080
269.0000,0.625318
269.5000,0.651194
270.0000,0.659751
270.5000,0.673468
271.0000,0.688090
271.5000,0.719936
272.0000,0.733808
272.5000,0.754416
273.0000,0.771313
273.5000,0.790731
274.0000,0.812926
274.5000,0.823568
275.0000,0.836127
275.5000,0.844764
276.0000,0.853410
276.5000,0.869954
277.0000,0.881427
277.5000,0.898507
278.0000,0.896912
278.5000,0.906355
279.0000,0.902687
279.5000,0.901544
280.0000,0.903460
280.5000,0.904005
281.0000,0.916150
281.5000,0.897822
282.0000,0.901106
282.5000,0.885974
283.0000,0.887345
283.5000,0.875476
284.0000,0.862344
284.5000,0.851266
285.0000,0.835364
285.5000,0.826925
286.0000,0.807436
286.5000,0.787632
287.0000,0.770529
287.5000,0.760129
288.0000,0.748781
288.5000,0.722661
289.0000,0.701685
289.5000,0.683650
290.0000,0.668307
290.5000,0.642128
291.0000,0.618012
291.5000,0.604499
292.0000,0.579955
292.5000,0.564357
293.0000,0.536557
293.5000,0.508649
294.0000,0.487296
294.5000,0.482055
295.0000,0.462441
295.5000,0.433360
296.0000,0.413239
296.5000,0.403870
297.0000,0.372985
297.5000,0.356592
298.0000,0.347446
298.5000,0.326067
299.0000,0.312494
299.5000,0.296871
300.0000,0.285248
300.5000,0.277183
301.0000,0.257905
301.5000,0.248704
302.0000,0.223990
302.5000,0.223477
303.0000,0.209702
303.5000,0.198732
304.0000,0.192043
304.5000,0.187060
305.0000,0.186282
305.5000,0.168703
306.0000,0.169765
306.5000,0.162096
307.0000,0.158394
307.5000,0.161153
308.0000,0.155511
308.5000,0.156743
309.0000,0.147055
309.5000,0.142639
310.0000,0.143789
310.5000,0.145393
311.0000,0.144800
311.5000,0.138679
312.0000,0.145169
312.5000,0.146889
313.0000,0.159767
313.5000,0.158381
