# Synthetic UV-Vis (waterfall demo) — not a real compound
wavelength_nm,absorbance
200.0,0.050000
201.0,0.050200
202.0,0.050400
203.0,0.050600
204.0,0.050800
205.0,0.051000
206.0,0.051200
207.0,0.051400
208.0,0.051600
209.0,0.051800
210.0,0.052000
211.0,0.052200
212.0,0.052400
213.0,0.052600
214.0,0.052800
215.0,0.053000
216.0,0.053200
217.0,0.053400
218.0,0.053601
219.0,0.053801
220.0,0.054001
221.0,0.054202
222.0,0.054403
223.0,0.054605
224.0,0.054807
225.0,0.055011
226.0,0.055216
227.0,0.055423
228.0,0.055634
229.0,0.055849
230.0,0.056071
231.0,0.056302
232.0,0.056544
233.0,0.056804
234.0,0.057085
235.0,0.057397
236.0,0.057748
237.0,0.058151
238.0,0.058623
239.0,0.059184
240.0,0.059859
241.0,0.060680
242.0,0.061686
243.0,0.062923
244.0,0.064448
245.0,0.066328
246.0,0.068643
247.0,0.071483
248.0,0.074954
249.0,0.079175
250.0,0.084281
251.0,0.090418
252.0,0.097747
253.0,0.106438
254.0,0.116670
255.0,0.128627
256.0,0.142491
257.0,0.158439
258.0,0.176637
259.0,0.197230
260.0,0.220334
261.0,0.246030
262.0,0.274356
263.0,0.305294
264.0,0.338766
265.0,0.374628
266.0,0.412664
267.0,0.452582
268.0,0.494016
269.0,0.536525
270.0,0.579601
271.0,0.622676
272.0,0.665132
273.0,0.706316
274.0,0.745555
275.0,0.782176
276.0,0.815524
277.0,0.844978
278.0,0.869978
279.0,0.890035
280.0,0.904754
281.0,0.913842
282.0,0.917122
283.0,0.914538
284.0,0.906155
285.0,0.892161
286.0,0.872857
287.0,0.848652
288.0,0.820042
289.0,0.787603
290.0,0.751965
291.0,0.713801
292.0,0.673798
293.0,0.632646
294.0,0.591016
295.0,0.549548
296.0,0.508830
297.0,0.469396
298.0,0.431711
299.0,0.396170
300.0,0.363094
301.0,0.332730
302.0,0.305258
303.0,0.280788
304.0,0.259373
305.0,0.241016
306.0,0.225672
307.0,0.213264
308.0,0.203684
309.0,0.196806
310.0,0.192490
311.0,0.190587
312.0,0.190948
313.0,0.193422
314.0,0.197865
315.0,0.204137
316.0,0.212108
317.0,0.221653
318.0,0.232654
319.0,0.245001
320.0,0.258589
321.0,0.273315
322.0,0.289079
323.0,0.305783
324.0,0.323327
325.0,0.341607
326.0,0.360519
327.0,0.379953
328.0,0.399792
329.0,0.419918
330.0,0.440204
331.0,0.460519
332.0,0.480727
333.0,0.500691
334.0,0.520266
335.0,0.539309
336.0,0.557676
337.0,0.575225
338.0,0.591814
339.0,0.607309
340.0,0.621580
341.0,0.634507
342.0,0.645979
343.0,0.655895
344.0,0.664168
345.0,0.670725
346.0,0.675508
347.0,0.678475
348.0,0.679600
349.0,0.678875
350.0,0.676308
351.0,0.671924
352.0,0.665767
353.0,0.657893
354.0,0.648376
355.0,0.637303
356.0,0.624773
357.0,0.610898
358.0,0.595798
359.0,0.579601
360.0,0.562442
361.0,0.544460
362.0,0.525795
363.0,0.506589
364.0,0.486983
365.0,0.467115
366.0,0.447118
367.0,0.427121
368.0,0.407245
369.0,0.387601
370.0,0.368296
371.0,0.349423
372.0,0.331067
373.0,0.313303
374.0,0.296193
375.0,0.279791
376.0,0.264140
377.0,0.249273
378.0,0.235211
379.0,0.221970
380.0,0.209555
381.0,0.197962
382.0,0.187184
383.0,0.177204
384.0,0.168001
385.0,0.159550
386.0,0.151821
387.0,0.144781
388.0,0.138395
389.0,0.132626
390.0,0.127437
391.0,0.122789
392.0,0.118643
393.0,0.114962
394.0,0.111708
395.0,0.108846
396.0,0.106339
397.0,0.104156
398.0,0.102266
399.0,0.100638
400.0,0.099245
401.0,0.098062
402.0,0.097065
403.0,0.096233
404.0,0.095547
405.0,0.094987
406.0,0.094539
407.0,0.094187
408.0,0.093920
409.0,0.093724
410.0,0.093592
411.0,0.093512
412.0,0.093479
413.0,0.093484
414.0,0.093522
415.0,0.093588
416.0,0.093678
417.0,0.093787
418.0,0.093912
419.0,0.094051
420.0,0.094201
421.0,0.094361
422.0,0.094528
423.0,0.094702
424.0,0.094881
425.0,0.095064
426.0,0.095250
427.0,0.095439
428.0,0.095631
429.0,0.095824
430.0,0.096019
431.0,0.096214
432.0,0.096411
433.0,0.096609
434.0,0.096807
435.0,0.097005
436.0,0.097204
437.0,0.097403
438.0,0.097602
439.0,0.097802
440.0,0.098001
441.0,0.098201
442.0,0.098401
443.0,0.098601
444.0,0.098800
445.0,0.099000
446.0,0.099200
447.0,0.099400
448.0,0.099600
449.0,0.099800
450.0,0.100000
451.0,0.100200
452.0,0.100400
453.0,0.100600
454.0,0.100800
455.0,0.101000
456.0,0.101200
457.0,0.101400
458.0,0.101600
459.0,0.101800
460.0,0.102000
461.0,0.102200
462.0,0.102400
463.0,0.102600
464.0,0.102800
465.0,0.103000
466.0,0.103200
467.0,0.103400
468.0,0.103600
469.0,0.103800
470.0,0.104000
471.0,0.104200
472.0,0.104400
473.0,0.104600
474.0,0.104800
475.0,0.105000
476.0,0.105200
477.0,0.105400
478.0,0.105600
479.0,0.105800
480.0,0.106000
481.0,0.106200
482.0,0.106400
483.0,0.106600
484.0,0.106800
485.0,0.107000
486.0,0.107200
487.0,0.107400
488.0,0.107600
489.0,0.107800
490.0,0.108000
491.0,0.108200
492.0,0.108400
493.0,0.108600
494.0,0.108800
495.0,0.109000
496.0,0.109200
497.0,0.109400
498.0,0.109600
499.0,0.109800
500.0,0.110000
