# Synthetic UV-Vis (waterfall demo) — not a real compound
# x_unit=nm  y_unit=A
wavelength_nm,absorbance
200.0,0.050000
201.0,0.050200
202.0,0.050400
203.0,0.050600
204.0,0.050800
205.0,0.051000
206.0,0.051200
207.0,0.051400
208.0,0.051600
209.0,0.051800
210.0,0.052000
211.0,0.052200
212.0,0.052400
213.0,0.052600
214.0,0.052800
215.0,0.053000
216.0,0.053200
217.0,0.053400
218.0,0.053600
219.0,0.053800
220.0,0.054000
221.0,0.054200
222.0,0.054401
223.0,0.054601
224.0,0.054802
225.0,0.055003
226.0,0.055204
227.0,0.055406
228.0,0.055609
229.0,0.055814
230.0,0.056021
231.0,0.056230
232.0,0.056444
233.0,0.056663
234.0,0.056890
235.0,0.057127
236.0,0.057380
237.0,0.057652
238.0,0.057950
239.0,0.058283
240.0,0.058663
241.0,0.059103
242.0,0.059621
243.0,0.060241
244.0,0.060989
245.0,0.061900
246.0,0.063015
247.0,0.064384
248.0,0.066067
249.0,0.068132
250.0,0.070662
251.0,0.073748
252.0,0.077497
253.0,0.082026
254.0,0.087465
255.0,0.093955
256.0,0.101648
257.0,0.110701
258.0,0.121275
259.0,0.133533
260.0,0.147631
261.0,0.163714
262.0,0.181910
263.0,0.202323
264.0,0.225025
265.0,0.250048
266.0,0.277376
267.0,0.306944
268.0,0.338622
269.0,0.372222
270.0,0.407485
271.0,0.444091
272.0,0.481650
273.0,0.519716
274.0,0.557789
275.0,0.595324
276.0,0.631749
277.0,0.666471
278.0,0.698898
279.0,0.728455
280.0,0.754599
281.0,0.776838
282.0,0.794747
283.0,0.807980
284.0,0.816285
285.0,0.819513
286.0,0.817620
287.0,0.810672
288.0,0.798844
289.0,0.782412
290.0,0.761744
291.0,0.737294
292.0,0.709578
293.0,0.679169
294.0,0.646671
295.0,0.612707
296.0,0.577903
297.0,0.542866
298.0,0.508175
299.0,0.474369
300.0,0.441934
301.0,0.411298
302.0,0.382825
303.0,0.356813
304.0,0.333496
305.0,0.313042
306.0,0.295561
307.0,0.281109
308.0,0.269690
309.0,0.261269
310.0,0.255776
311.0,0.253108
312.0,0.253145
313.0,0.255747
314.0,0.260762
315.0,0.268032
316.0,0.277392
317.0,0.288676
318.0,0.301720
319.0,0.316357
320.0,0.332422
321.0,0.349755
322.0,0.368191
323.0,0.387571
324.0,0.407733
325.0,0.428514
326.0,0.449753
327.0,0.471286
328.0,0.492946
329.0,0.514568
330.0,0.535984
331.0,0.557028
332.0,0.577531
333.0,0.597331
334.0,0.616265
335.0,0.634175
336.0,0.650913
337.0,0.666334
338.0,0.680305
339.0,0.692704
340.0,0.703421
341.0,0.712361
342.0,0.719444
343.0,0.724606
344.0,0.727802
345.0,0.729003
346.0,0.728200
347.0,0.725401
348.0,0.720635
349.0,0.713948
350.0,0.705401
351.0,0.695074
352.0,0.683061
353.0,0.669471
354.0,0.654423
355.0,0.638048
356.0,0.620485
357.0,0.601879
358.0,0.582382
359.0,0.562144
360.0,0.541321
361.0,0.520065
362.0,0.498525
363.0,0.476845
364.0,0.455165
365.0,0.433615
366.0,0.412318
367.0,0.391387
368.0,0.370925
369.0,0.351023
370.0,0.331761
371.0,0.313209
372.0,0.295424
373.0,0.278452
374.0,0.262329
375.0,0.247079
376.0,0.232718
377.0,0.219251
378.0,0.206676
379.0,0.194983
380.0,0.184154
381.0,0.174168
382.0,0.164996
383.0,0.156606
384.0,0.148962
385.0,0.142028
386.0,0.135762
387.0,0.130124
388.0,0.125071
389.0,0.120564
390.0,0.116559
391.0,0.113017
392.0,0.109899
393.0,0.107168
394.0,0.104786
395.0,0.102721
396.0,0.100941
397.0,0.099415
398.0,0.098117
399.0,0.097021
400.0,0.096103
401.0,0.095342
402.0,0.094719
403.0,0.094217
404.0,0.093819
405.0,0.093513
406.0,0.093285
407.0,0.093124
408.0,0.093022
409.0,0.092969
410.0,0.092958
411.0,0.092983
412.0,0.093037
413.0,0.093117
414.0,0.093219
415.0,0.093338
416.0,0.093472
417.0,0.093618
418.0,0.093774
419.0,0.093939
420.0,0.094110
421.0,0.094287
422.0,0.094469
423.0,0.094654
424.0,0.094843
425.0,0.095033
426.0,0.095226
427.0,0.095420
428.0,0.095616
429.0,0.095812
430.0,0.096009
431.0,0.096207
432.0,0.096405
433.0,0.096604
434.0,0.096803
435.0,0.097002
436.0,0.097202
437.0,0.097401
438.0,0.097601
439.0,0.097801
440.0,0.098001
441.0,0.098200
442.0,0.098400
443.0,0.098600
444.0,0.098800
445.0,0.099000
446.0,0.099200
447.0,0.099400
448.0,0.099600
449.0,0.099800
450.0,0.100000
451.0,0.100200
452.0,0.100400
453.0,0.100600
454.0,0.100800
455.0,0.101000
456.0,0.101200
457.0,0.101400
458.0,0.101600
459.0,0.101800
460.0,0.102000
461.0,0.102200
462.0,0.102400
463.0,0.102600
464.0,0.102800
465.0,0.103000
466.0,0.103200
467.0,0.103400
468.0,0.103600
469.0,0.103800
470.0,0.104000
471.0,0.104200
472.0,0.104400
473.0,0.104600
474.0,0.104800
475.0,0.105000
476.0,0.105200
477.0,0.105400
478.0,0.105600
479.0,0.105800
480.0,0.106000
481.0,0.106200
482.0,0.106400
483.0,0.106600
484.0,0.106800
485.0,0.107000
486.0,0.107200
487.0,0.107400
488.0,0.107600
489.0,0.107800
490.0,0.108000
491.0,0.108200
492.0,0.108400
493.0,0.108600
494.0,0.108800
495.0,0.109000
496.0,0.109200
497.0,0.109400
498.0,0.109600
499.0,0.109800
500.0,0.110000
